company,domain,job_title,location,posting_url,date_scraped
GRIDWORKS,gridworks.com,Civil Site Development Engineering Manager,"Albuquerque, NM, US",https://www.indeed.com/viewjob?jk=042616a7bd2fc839,2026-01-12
SunEnergy1,sunenergy1.com,Senior Electrical Engineer,"Bethel, NC, US",https://www.indeed.com/viewjob?jk=dbda69fb9264b850,2026-01-12
Venture Solar,venturesolar.com,Solar Project Planner (Installation Experience),"Stamford, CT, US",https://www.indeed.com/viewjob?jk=3cac41f005b2d5f1,2026-01-12
PowerFlex,powerflex.com,Project Engineer II,"New York, NY, US",https://www.indeed.com/viewjob?jk=2f6c511c6cb1b4d3,2026-01-12
Accord Power Inc,accordpower.com,Senior Solar Project Manager,"Flushing, NY, US",https://www.indeed.com/viewjob?jk=7f5d3ccaadc8961b,2026-01-12
Typsa,typsa.com,Electrical/Mechanical Res. Construction Super,"Commerce, TX, US",https://www.indeed.com/viewjob?jk=9baf3a80450f2446,2026-01-12
Rosendin Electric,rosendinelectric.com,Civil Structural Engineer IV - Substation Design,"Sterling, VA, US",https://www.indeed.com/viewjob?jk=f51279710e0cf230,2026-01-12
Sustineo Construction,sustineoconstruction.com,Senior Solar Design Engineer PE,"San Diego, CA, US",https://www.indeed.com/viewjob?jk=17ada070cd3c0106,2026-01-12
Melink Solar,melinksolar.com,Preconstruction Engineer,"Cincinnati, OH, US",https://www.indeed.com/viewjob?jk=0c1399e90f44abfa,2026-01-12
E K Fox & Associates,ekfoxassociates.com,Lead Electrical Engineer (Specialized Design),"Chantilly, VA, US",https://www.indeed.com/viewjob?jk=c5aacd027b1e1efa,2026-01-12
Augment Professional Services,augmentprofessionalservices.com,Assistant Solar Farm Civil Designer,"Mesa, AZ, US",https://www.indeed.com/viewjob?jk=cc5cd301faa7574a,2026-01-12
Sunrun,sunrun.com,Multifamily PV Designer,"San Luis Obispo, CA, US",https://www.indeed.com/viewjob?jk=0f7c8c6d71bfa8cc,2026-01-12
Soltage,soltage.com,PV Solar Development Engineer,"Jersey City, NJ, US",https://www.indeed.com/viewjob?jk=09b230e45d74d973,2026-01-12
Reactivate,reactivate.com,Solar Project Engineer,US,https://www.indeed.com/viewjob?jk=2bc8b710d44226c4,2026-01-12
Delta Electronics (Americas) Ltd.,deltaelectronicsamericas.com,Microgrid Medium Voltage Power Engineer,"Morrisville, NC, US",https://www.indeed.com/viewjob?jk=82a267b549855412,2026-01-12
PV Pros,pvpros.com,Civil Engineer,"Boston, MA, US",https://www.indeed.com/viewjob?jk=43d963a266365074,2026-01-12
Nexamp,nexamp.com,"Manager, Interconnection","New York, NY, US",https://www.indeed.com/viewjob?jk=b328592b23b210e4,2026-01-12
Centrica,centrica.com,Lead Microgrid Developer,"Loomis, CA, US",https://www.indeed.com/viewjob?jk=c02152db4c0afd66,2026-01-12
Arch Solar C&I,archsolarci.com,Commercial Solar Site Superintendent,"Bolingbrook, IL, US",https://www.indeed.com/viewjob?jk=a5b484c963821e32,2026-01-12
Zero Impact Solutions,zeroimpactsolutions.com,Electrical Design Engineer,"Irvine, CA, US",https://www.indeed.com/viewjob?jk=7bec0f68f079a6b2,2026-01-12
SGC Engineering LLC,sgcengineering.com,Renewable Energy - Project Engineer,"Augusta, ME, US",https://www.indeed.com/viewjob?jk=0df164f4ab620e0c,2026-01-12
"Johnson, Mirmiran & Thompson, Inc.",johnsonmirmiranthompson.com,Electrical Engineer - Power & Energy,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=cc883e29a108d7d2,2026-01-12
Clark Nexsen,clarknexsen.com,Electrical Engineer - Power & Energy,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=124e21fb596a5c06,2026-01-12
JMT Technology Group,jmttechnologygroup.com,Electrical Engineer - Power & Energy,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=d80482358bbe0c35,2026-01-12
ARM GROUP LLC,armgroup.com,Civil Project Manager,"Columbia, MD, US",https://www.indeed.com/viewjob?jk=320b54e54e2e4861,2026-01-12
ARM Group,armgroup.com,Civil Project Manager,"Columbia, MD, US",https://www.indeed.com/viewjob?jk=90c9422f45b78cef,2026-01-12
AECOM,aecom.com,Senior Technical Lead - Microgrids,"Orlando, FL, US",https://www.indeed.com/viewjob?jk=061a9332b23c6e64,2026-01-12
Colliers Engineering & Design,colliersengineeringdesign.com,Civil/Site Engineering Designer III,"Albany, NY, US",https://www.indeed.com/viewjob?jk=58f31bbfc7da0fb3,2026-01-12
Quanex,quanex.com,Tooling Technician - 3rd Shift,"Saint Cloud, MN, US",https://www.indeed.com/viewjob?jk=563ac598ab4ca8f0,2026-01-12
EKFox,ekfox.com,Senior Electrical Engineer (Specialized Design),"Chantilly, VA",https://www.glassdoor.com/job-listing/j?jl=1009966640107,2026-01-12
Novel Energy Solutions LLC,novelenergysolutions.com,Senior Civil Design Engineer,United States,https://www.glassdoor.com/job-listing/j?jl=1009906109071,2026-01-12
HDR,hdr.com,Electrical Engineer - Power Generation,"Fort Worth, TX, US",https://www.indeed.com/viewjob?jk=d8435b50f07527e9,2026-01-12
Shoals Technologies Group,shoalstechnologiesgroup.com,CAD Designer,"Portland, TN, US",https://www.indeed.com/viewjob?jk=a02024107cb3846e,2026-01-12
"NEI Electric Power Engineering, Inc.",neielectricpowerengineering.com,Electrical Engineer (Solar Engineering),"Denver, CO, US",https://www.indeed.com/viewjob?jk=ad1134d318edc7e6,2026-01-12
Pattern Energy Group,patternenergygroup.com,Senior Design Engineer - Solect Energy,"Hopkinton, MA, US",https://www.indeed.com/viewjob?jk=14c7c01d0b120529,2026-01-12
"Sunrun Installation Services, Inc.",sunruninstallationservices.com,Multifamily PV Designer,"San Luis Obispo, CA",https://www.glassdoor.com/job-listing/j?jl=1009973079281,2026-01-12
Siemens,siemens.com,Project Engineer / SME,"Wendell, NC",https://www.glassdoor.com/job-listing/j?jl=1009967859397,2026-01-12
"Atwell, LLC",atwell.com,Electrical Designer - Power & Energy,"Southfield, MI",https://www.glassdoor.com/job-listing/j?jl=1009949733644,2026-01-12
GFT,gft.com,Structural Engineer/ Hydro Generation,"Roseville, CA, US",https://www.indeed.com/viewjob?jk=981d1f9041a4f88d,2026-01-12
